index_value,sentiment,date,time_until_update
20,Extreme Fear,2022-09-04,
21,Extreme Fear,2022-09-03,
25,Extreme Fear,2022-09-02,
20,Extreme Fear,2022-09-01,
23,Extreme Fear,2022-08-31,
27,Fear,2022-08-30,
24,Extreme Fear,2022-08-29,
28,Fear,2022-08-28,
28,Fear,2022-08-27,
27,Fear,2022-08-26,
25,Extreme Fear,2022-08-25,
25,Extreme Fear,2022-08-24,
28,Fear,2022-08-23,
29,Fear,2022-08-22,
27,Fear,2022-08-21,
29,Fear,2022-08-20,
33,Fear,2022-08-19,
30,Fear,2022-08-18,
41,Fear,2022-08-17,
44,Fear,2022-08-16,
45,Fear,2022-08-15,
47,Neutral,2022-08-14,
46,Fear,2022-08-13,
42,Fear,2022-08-12,
41,Fear,2022-08-11,
31,Fear,2022-08-10,
42,Fear,2022-08-09,
30,Fear,2022-08-08,
30,Fear,2022-08-07,
31,Fear,2022-08-06,
31,Fear,2022-08-05,
30,Fear,2022-08-04,
34,Fear,2022-08-03,
31,Fear,2022-08-02,
33,Fear,2022-08-01,
39,Fear,2022-07-31,
42,Fear,2022-07-30,
39,Fear,2022-07-29,
32,Fear,2022-07-28,
28,Fear,2022-07-27,
26,Fear,2022-07-26,
30,Fear,2022-07-25,
30,Fear,2022-07-24,
31,Fear,2022-07-23,
33,Fear,2022-07-22,
34,Fear,2022-07-21,
31,Fear,2022-07-20,
30,Fear,2022-07-19,
20,Extreme Fear,2022-07-18,
24,Extreme Fear,2022-07-17,
21,Extreme Fear,2022-07-16,
15,Extreme Fear,2022-07-15,
18,Extreme Fear,2022-07-14,
15,Extreme Fear,2022-07-13,
16,Extreme Fear,2022-07-12,
22,Extreme Fear,2022-07-11,
24,Extreme Fear,2022-07-10,
24,Extreme Fear,2022-07-09,
20,Extreme Fear,2022-07-08,
18,Extreme Fear,2022-07-07,
18,Extreme Fear,2022-07-06,
19,Extreme Fear,2022-07-05,
14,Extreme Fear,2022-07-04,
11,Extreme Fear,2022-07-03,
14,Extreme Fear,2022-07-02,
11,Extreme Fear,2022-07-01,
11,Extreme Fear,2022-06-30,
13,Extreme Fear,2022-06-29,
10,Extreme Fear,2022-06-28,
12,Extreme Fear,2022-06-27,
14,Extreme Fear,2022-06-26,
14,Extreme Fear,2022-06-25,
11,Extreme Fear,2022-06-24,
11,Extreme Fear,2022-06-23,
11,Extreme Fear,2022-06-22,
9,Extreme Fear,2022-06-21,
9,Extreme Fear,2022-06-20,
6,Extreme Fear,2022-06-19,
6,Extreme Fear,2022-06-18,
9,Extreme Fear,2022-06-17,
7,Extreme Fear,2022-06-16,
7,Extreme Fear,2022-06-15,
8,Extreme Fear,2022-06-14,
11,Extreme Fear,2022-06-13,
14,Extreme Fear,2022-06-12,
12,Extreme Fear,2022-06-11,
13,Extreme Fear,2022-06-10,
11,Extreme Fear,2022-06-09,
17,Extreme Fear,2022-06-08,
15,Extreme Fear,2022-06-07,
13,Extreme Fear,2022-06-06,
10,Extreme Fear,2022-06-05,
14,Extreme Fear,2022-06-04,
10,Extreme Fear,2022-06-03,
13,Extreme Fear,2022-06-02,
17,Extreme Fear,2022-06-01,
16,Extreme Fear,2022-05-31,
10,Extreme Fear,2022-05-30,
14,Extreme Fear,2022-05-29,
13,Extreme Fear,2022-05-28,
12,Extreme Fear,2022-05-27,
12,Extreme Fear,2022-05-26,
11,Extreme Fear,2022-05-25,
12,Extreme Fear,2022-05-24,
10,Extreme Fear,2022-05-23,
14,Extreme Fear,2022-05-22,
13,Extreme Fear,2022-05-21,
13,Extreme Fear,2022-05-20,
13,Extreme Fear,2022-05-19,
12,Extreme Fear,2022-05-18,
8,Extreme Fear,2022-05-17,
14,Extreme Fear,2022-05-16,
10,Extreme Fear,2022-05-15,
9,Extreme Fear,2022-05-14,
10,Extreme Fear,2022-05-13,
12,Extreme Fear,2022-05-12,
12,Extreme Fear,2022-05-11,
10,Extreme Fear,2022-05-10,
11,Extreme Fear,2022-05-09,
18,Extreme Fear,2022-05-08,
23,Extreme Fear,2022-05-07,
22,Extreme Fear,2022-05-06,
27,Fear,2022-05-05,
21,Extreme Fear,2022-05-04,
27,Fear,2022-05-03,
28,Fear,2022-05-02,
22,Extreme Fear,2022-05-01,
20,Extreme Fear,2022-04-30,
23,Extreme Fear,2022-04-29,
24,Extreme Fear,2022-04-28,
21,Extreme Fear,2022-04-27,
27,Fear,2022-04-26,
23,Extreme Fear,2022-04-25,
24,Extreme Fear,2022-04-24,
24,Extreme Fear,2022-04-23,
26,Fear,2022-04-22,
27,Fear,2022-04-21,
27,Fear,2022-04-20,
27,Fear,2022-04-19,
24,Extreme Fear,2022-04-18,
28,Fear,2022-04-17,
28,Fear,2022-04-16,
22,Extreme Fear,2022-04-15,
28,Fear,2022-04-14,
25,Extreme Fear,2022-04-13,
20,Extreme Fear,2022-04-12,
32,Fear,2022-04-11,
34,Fear,2022-04-10,
30,Fear,2022-04-09,
37,Fear,2022-04-08,
34,Fear,2022-04-07,
48,Neutral,2022-04-06,
53,Neutral,2022-04-05,
52,Neutral,2022-04-04,
48,Neutral,2022-04-03,
52,Neutral,2022-04-02,
50,Neutral,2022-04-01,
52,Neutral,2022-03-31,
55,Greed,2022-03-30,
56,Greed,2022-03-29,
60,Greed,2022-03-28,
49,Neutral,2022-03-27,
51,Neutral,2022-03-26,
47,Neutral,2022-03-25,
40,Fear,2022-03-24
